Successfully loaded Excel file: hochma_db_final_corrected.xlsx

--- Missing Chapters ---
No missing chapters found based on the hardcoded Bible structure.

--- Incomplete Chapters (Verse Count Mismatch) ---
이사야 37장: 예상 38개 절, 실제 7개 절
이사야 38장: 예상 8개 절, 실제 22개 절
이사야 60장: 예상 22개 절, 실제 20개 절
예레미야 3장: 예상 25개 절, 실제 5개 절
예레미야 9장: 예상 26개 절, 실제 11개 절
예레미야 10장: 예상 25개 절, 실제 21개 절
예레미야 18장: 예상 23개 절, 실제 9개 절
예레미야 25장: 예상 38개 절, 실제 19개 절
예레미야 28장: 예상 17개 절, 실제 8개 절
예레미야 39장: 예상 18개 절, 실제 5개 절
예레미야 48장: 예상 47개 절, 실제 3개 절
예레미야 50장: 예상 46개 절, 실제 2개 절
예레미야 51장: 예상 64개 절, 실제 14개 절
에스겔 19장: 예상 14개 절, 실제 2개 절
에스겔 41장: 예상 26개 절, 실제 15개 절
에스겔 42장: 예상 20개 절, 실제 7개 절
에스겔 44장: 예상 31개 절, 실제 6개 절
다니엘 2장: 예상 49개 절, 실제 12개 절
다니엘 3장: 예상 30개 절, 실제 16개 절
다니엘 11장: 예상 45개 절, 실제 18개 절
요엘 1장: 예상 20개 절, 실제 18개 절
요나 4장: 예상 11개 절, 실제 4개 절
미가 7장: 예상 20개 절, 실제 1개 절
학개 2장: 예상 23개 절, 실제 21개 절
스가랴 4장: 예상 14개 절, 실제 11개 절
스가랴 5장: 예상 11개 절, 실제 10개 절
스가랴 6장: 예상 15개 절, 실제 1개 절
스가랴 8장: 예상 23개 절, 실제 5개 절
스가랴 9장: 예상 17개 절, 실제 11개 절
말라기 3장: 예상 18개 절, 실제 10개 절
마태복음 4장: 예상 25개 절, 실제 13개 절
마태복음 5장: 예상 48개 절, 실제 25개 절
마태복음 7장: 예상 29개 절, 실제 4개 절
마태복음 8장: 예상 34개 절, 실제 32개 절
마태복음 10장: 예상 42개 절, 실제 27개 절
마태복음 12장: 예상 50개 절, 실제 33개 절
마태복음 14장: 예상 36개 절, 실제 6개 절
마태복음 16장: 예상 28개 절, 실제 3개 절
마태복음 17장: 예상 27개 절, 실제 1개 절
마태복음 18장: 예상 35개 절, 실제 2개 절
마태복음 19장: 예상 30개 절, 실제 28개 절
마태복음 20장: 예상 34개 절, 실제 12개 절
마태복음 22장: 예상 46개 절, 실제 1개 절
마태복음 25장: 예상 46개 절, 실제 15개 절
마태복음 26장: 예상 75개 절, 실제 24개 절
마태복음 27장: 예상 66개 절, 실제 1개 절
마가복음 1장: 예상 45개 절, 실제 46개 절
마가복음 3장: 예상 35개 절, 실제 16개 절
마가복음 4장: 예상 41개 절, 실제 5개 절
마가복음 5장: 예상 43개 절, 실제 17개 절
마가복음 6장: 예상 56개 절, 실제 9개 절
마가복음 7장: 예상 37개 절, 실제 15개 절
마가복음 8장: 예상 38개 절, 실제 11개 절
마가복음 10장: 예상 52개 절, 실제 33개 절
마가복음 13장: 예상 37개 절, 실제 3개 절
마가복음 15장: 예상 47개 절, 실제 3개 절
마가복음 16장: 예상 20개 절, 실제 2개 절
누가복음 1장: 예상 80개 절, 실제 49개 절
누가복음 2장: 예상 52개 절, 실제 16개 절
누가복음 4장: 예상 44개 절, 실제 12개 절
누가복음 8장: 예상 56개 절, 실제 3개 절
누가복음 12장: 예상 59개 절, 실제 20개 절
누가복음 16장: 예상 31개 절, 실제 10개 절
누가복음 17장: 예상 37개 절, 실제 1개 절
누가복음 22장: 예상 71개 절, 실제 38개 절
요한복음 4장: 예상 54개 절, 실제 29개 절
요한복음 6장: 예상 71개 절, 실제 41개 절
요한복음 7장: 예상 53개 절, 실제 28개 절
요한복음 8장: 예상 59개 절, 실제 49개 절
요한복음 9장: 예상 41개 절, 실제 22개 절
요한복음 10장: 예상 42개 절, 실제 41개 절
요한복음 11장: 예상 57개 절, 실제 50개 절
요한복음 12장: 예상 50개 절, 실제 21개 절
요한복음 13장: 예상 38개 절, 실제 16개 절
요한복음 14장: 예상 31개 절, 실제 2개 절
요한복음 19장: 예상 42개 절, 실제 16개 절
사도행전 2장: 예상 47개 절, 실제 41개 절
사도행전 3장: 예상 26개 절, 실제 21개 절
사도행전 5장: 예상 42개 절, 실제 6개 절
사도행전 7장: 예상 60개 절, 실제 14개 절
사도행전 8장: 예상 40개 절, 실제 36개 절
사도행전 11장: 예상 30개 절, 실제 9개 절
사도행전 17장: 예상 34개 절, 실제 16개 절
사도행전 18장: 예상 28개 절, 실제 2개 절
로마서 2장: 예상 29개 절, 실제 25개 절
로마서 12장: 예상 21개 절, 실제 31개 절
로마서 15장: 예상 33개 절, 실제 27개 절
고린도전서 7장: 예상 40개 절, 실제 29개 절
고린도전서 14장: 예상 40개 절, 실제 23개 절
고린도전서 15장: 예상 58개 절, 실제 3개 절
고린도후서 11장: 예상 33개 절, 실제 22개 절
고린도후서 12장: 예상 21개 절, 실제 13개 절
고린도후서 13장: 예상 14개 절, 실제 1개 절
갈라디아서 5장: 예상 26개 절, 실제 6개 절
에베소서 5장: 예상 33개 절, 실제 23개 절
골로새서 3장: 예상 25개 절, 실제 3개 절
디모데후서 1장: 예상 18개 절, 실제 5개 절
히브리서 1장: 예상 14개 절, 실제 16개 절
히브리서 5장: 예상 14개 절, 실제 16개 절
히브리서 10장: 예상 39개 절, 실제 23개 절
히브리서 11장: 예상 40개 절, 실제 22개 절
히브리서 12장: 예상 29개 절, 실제 20개 절
베드로전서 1장: 예상 25개 절, 실제 20개 절
베드로전서 3장: 예상 22개 절, 실제 28개 절
베드로전서 5장: 예상 14개 절, 실제 15개 절
요한일서 1장: 예상 10개 절, 실제 9개 절
요한일서 2장: 예상 29개 절, 실제 20개 절
요한일서 4장: 예상 21개 절, 실제 16개 절
요한삼서 1장: 예상 14개 절, 실제 15개 절
요한계시록 2장: 예상 29개 절, 실제 20개 절
요한계시록 8장: 예상 13개 절, 실제 14개 절

--- Chapter Verse Ranges (for existing chapters) ---
창세기 1장: 절 범위: 1-15 (총 15개 절)
창세기 2장: 절 범위: 1-9 (총 9개 절)
창세기 3장: 절 범위: 1-17 (총 17개 절)
창세기 4장: 절 범위: 1-6 (총 6개 절)
창세기 5장: 절 범위: 1-32 (총 32개 절)
창세기 6장: 절 범위: 1-22 (총 22개 절)
창세기 7장: 절 범위: 1-7 (총 7개 절)
창세기 8장: 절 범위: 1-22 (총 22개 절)
창세기 9장: 절 범위: 1-27 (총 27개 절)
창세기 10장: 절 범위: 1-14 (총 14개 절)
창세기 11장: 절 범위: 1-32 (총 32개 절)
창세기 12장: 절 범위: 1-20 (총 20개 절)
창세기 13장: 절 범위: 1-18 (총 18개 절)
창세기 14장: 절 범위: 1-24 (총 24개 절)
창세기 15장: 절 범위: 1-21 (총 21개 절)
창세기 16장: 절 범위: 1-15 (총 15개 절)
창세기 17장: 절 범위: 1-27 (총 27개 절)
창세기 18장: 절 범위: 1-6 (총 6개 절)
창세기 19장: 절 범위: 1-17 (총 17개 절)
창세기 20장: 절 범위: 1-18 (총 18개 절)
창세기 21장: 절 범위: 1-2 (총 2개 절)
창세기 22장: 절 범위: 1-14 (총 14개 절)
창세기 23장: 절 범위: 1-4 (총 4개 절)
창세기 24장: 절 범위: 1-17 (총 17개 절)
창세기 25장: 절 범위: 1-9 (총 9개 절)
창세기 26장: 절 범위: 1-5 (총 5개 절)
창세기 27장: 절 범위: 1-5 (총 5개 절)
창세기 28장: 절 범위: 1-6 (총 6개 절)
창세기 29장: 절 범위: 1-15 (총 15개 절)
창세기 30장: 절 범위: 1-6 (총 6개 절)
창세기 31장: 절 범위: 1-55 (총 55개 절)
창세기 32장: 절 범위: 1-32 (총 32개 절)
창세기 33장: 절 범위: 1-20 (총 20개 절)
창세기 34장: 절 범위: 1-31 (총 31개 절)
창세기 35장: 절 범위: 1-29 (총 29개 절)
창세기 36장: 절 범위: 1-43 (총 43개 절)
창세기 37장: 절 범위: 1-4 (총 4개 절)
창세기 38장: 절 범위: 1-30 (총 30개 절)
창세기 39장: 절 범위: 1-23 (총 23개 절)
창세기 40장: 절 범위: 1-1 (총 1개 절)
창세기 41장: 절 범위: 1-1 (총 1개 절)
창세기 42장: 절 범위: 1-38 (총 38개 절)
창세기 43장: 절 범위: 1-34 (총 34개 절)
창세기 44장: 절 범위: 1-34 (총 34개 절)
창세기 45장: 절 범위: 1-28 (총 28개 절)
창세기 46장: 절 범위: 1-34 (총 34개 절)
창세기 47장: 절 범위: 1-1 (총 1개 절)
창세기 48장: 절 범위: 1-22 (총 22개 절)
창세기 49장: 절 범위: 1-33 (총 33개 절)
창세기 50장: 절 범위: 1-1 (총 1개 절)
출애굽기 1장: 절 범위: 1-3 (총 3개 절)
출애굽기 2장: 절 범위: 1-25 (총 25개 절)
출애굽기 3장: 절 범위: 1-22 (총 22개 절)
출애굽기 4장: 절 범위: 1-10 (총 2개 절)
출애굽기 5장: 절 범위: 1-23 (총 23개 절)
출애굽기 6장: 절 범위: 1-30 (총 30개 절)
출애굽기 7장: 절 범위: 1-25 (총 25개 절)
출애굽기 8장: 절 범위: 1-1 (총 1개 절)
출애굽기 9장: 절 범위: 1-27 (총 27개 절)
출애굽기 10장: 절 범위: 1-32 (총 32개 절)
출애굽기 11장: 절 범위: 1-10 (총 10개 절)
출애굽기 12장: 절 범위: 1-51 (총 51개 절)
출애굽기 13장: 절 범위: 1-22 (총 22개 절)
출애굽기 14장: 절 범위: 1-31 (총 31개 절)
출애굽기 15장: 절 범위: 1-19 (총 19개 절)
출애굽기 16장: 절 범위: 1-3 (총 3개 절)
출애굽기 17장: 절 범위: 1-16 (총 16개 절)
출애굽기 18장: 절 범위: 1-1 (총 1개 절)
출애굽기 19장: 절 범위: 1-14 (총 14개 절)
